vtkCompositeIndexArray,vtkOriginalIndices,N,Time,__vtkIsSelected__,avg(X),avg(Y),avg(Z),avg(u),avg(vtkOriginalPointIds),max(X),max(Y),max(Z),max(u),max(vtkOriginalPointIds),med(X),med(Y),med(Z),med(u),med(vtkOriginalPointIds),min(X),min(Y),min(Z),min(u),min(vtkOriginalPointIds),q1(X),q1(Y),q1(Z),q1(u),q1(vtkOriginalPointIds),q3(X),q3(Y),q3(Z),q3(u),q3(vtkOriginalPointIds),std(X),std(Y),std(Z),std(u),std(vtkOriginalPointIds),vtkValidPointMask
1,0,1,0,0,0.5,0.5,0,1.07959e-06,400,0.5,0.5,0,1.07959e-06,400,0.5,0.5,0,1.07959e-06,400,0.5,0.5,0,1.07959e-06,400,0.5,0.5,0,1.07959e-06,400,0.5,0.5,0,1.07959e-06,400,0,0,0,0,0,1
1,1,1,1,0,0.5,0.5,0,5.98274e-06,400,0.5,0.5,0,5.98274e-06,400,0.5,0.5,0,5.98274e-06,400,0.5,0.5,0,5.98274e-06,400,0.5,0.5,0,5.98274e-06,400,0.5,0.5,0,5.98274e-06,400,0,0,0,0,0,1
1,2,1,2,0,0.5,0.5,0,1.77722e-05,400,0.5,0.5,0,1.77722e-05,400,0.5,0.5,0,1.77722e-05,400,0.5,0.5,0,1.77722e-05,400,0.5,0.5,0,1.77722e-05,400,0.5,0.5,0,1.77722e-05,400,0,0,0,0,0,1
1,3,1,3,0,0.5,0.5,0,3.96986e-05,400,0.5,0.5,0,3.96986e-05,400,0.5,0.5,0,3.96986e-05,400,0.5,0.5,0,3.96986e-05,400,0.5,0.5,0,3.96986e-05,400,0.5,0.5,0,3.96986e-05,400,0,0,0,0,0,1
1,4,1,4,0,0.5,0.5,0,7.58862e-05,400,0.5,0.5,0,7.58862e-05,400,0.5,0.5,0,7.58862e-05,400,0.5,0.5,0,7.58862e-05,400,0.5,0.5,0,7.58862e-05,400,0.5,0.5,0,7.58862e-05,400,0,0,0,0,0,1
1,5,1,5,0,0.5,0.5,0,0.000131237,400,0.5,0.5,0,0.000131237,400,0.5,0.5,0,0.000131237,400,0.5,0.5,0,0.000131237,400,0.5,0.5,0,0.000131237,400,0.5,0.5,0,0.000131237,400,0,0,0,0,0,1
1,6,1,6,0,0.5,0.5,0,0.000211249,400,0.5,0.5,0,0.000211249,400,0.5,0.5,0,0.000211249,400,0.5,0.5,0,0.000211249,400,0.5,0.5,0,0.000211249,400,0.5,0.5,0,0.000211249,400,0,0,0,0,0,1
1,7,1,7,0,0.5,0.5,0,0.000321725,400,0.5,0.5,0,0.000321725,400,0.5,0.5,0,0.000321725,400,0.5,0.5,0,0.000321725,400,0.5,0.5,0,0.000321725,400,0.5,0.5,0,0.000321725,400,0,0,0,0,0,1
1,8,1,8,0,0.5,0.5,0,0.000468389,400,0.5,0.5,0,0.000468389,400,0.5,0.5,0,0.000468389,400,0.5,0.5,0,0.000468389,400,0.5,0.5,0,0.000468389,400,0.5,0.5,0,0.000468389,400,0,0,0,0,0,1
1,9,1,9,0,0.5,0.5,0,0.000656425,400,0.5,0.5,0,0.000656425,400,0.5,0.5,0,0.000656425,400,0.5,0.5,0,0.000656425,400,0.5,0.5,0,0.000656425,400,0.5,0.5,0,0.000656425,400,0,0,0,0,0,1
1,10,1,10,0,0.5,0.5,0,0.000889973,400,0.5,0.5,0,0.000889973,400,0.5,0.5,0,0.000889973,400,0.5,0.5,0,0.000889973,400,0.5,0.5,0,0.000889973,400,0.5,0.5,0,0.000889973,400,0,0,0,0,0,1
1,11,1,11,0,0.5,0.5,0,0.00117163,400,0.5,0.5,0,0.00117163,400,0.5,0.5,0,0.00117163,400,0.5,0.5,0,0.00117163,400,0.5,0.5,0,0.00117163,400,0.5,0.5,0,0.00117163,400,0,0,0,0,0,1
1,12,1,12,0,0.5,0.5,0,0.00150197,400,0.5,0.5,0,0.00150197,400,0.5,0.5,0,0.00150197,400,0.5,0.5,0,0.00150197,400,0.5,0.5,0,0.00150197,400,0.5,0.5,0,0.00150197,400,0,0,0,0,0,1
1,13,1,13,0,0.5,0.5,0,0.00187917,400,0.5,0.5,0,0.00187917,400,0.5,0.5,0,0.00187917,400,0.5,0.5,0,0.00187917,400,0.5,0.5,0,0.00187917,400,0.5,0.5,0,0.00187917,400,0,0,0,0,0,1
1,14,1,14,0,0.5,0.5,0,0.00229874,400,0.5,0.5,0,0.00229874,400,0.5,0.5,0,0.00229874,400,0.5,0.5,0,0.00229874,400,0.5,0.5,0,0.00229874,400,0.5,0.5,0,0.00229874,400,0,0,0,0,0,1
1,15,1,15,0,0.5,0.5,0,0.00275336,400,0.5,0.5,0,0.00275336,400,0.5,0.5,0,0.00275336,400,0.5,0.5,0,0.00275336,400,0.5,0.5,0,0.00275336,400,0.5,0.5,0,0.00275336,400,0,0,0,0,0,1
